Test Case ID,DateTime,Duration (sec),Input Address,Actual Returned Address,Latitude,Longitude,PCode,Result Format OK?,Missing Fields,Error Type (if any),Exception/Traceback,Test Outcome,Notes,
TC_0013,8/8/2025 18:34,0.015,အမှတ် (၅၃၀)၊ မြေညီထပ်၊ သမိုင်း(၇)လမ်း၊ (၁)ရပ်ကွက်၊ မရမ်းကုန်းမြို့နယ်၊ ရန်ကုန်တိုင်း။,အမှတ် (၁) ရပ်ကွက် (သမိုင်းဘူတာအနောက်)၊ မရမ်းကုန်း၊ မရမ်းကုန်း၊ ရန်ကုန်(အနောက်ပိုင်း)၊ ရန်ကုန်တိုင်းဒေသကြီး,16.832133,96.126855,MMR013042701501,All fields present,None,No error,,Sanity check: Pass,,
TC_0014,8/8/2025 18:34,0.062,အမှတ်(၁၁)၊ လှိုင်မြစ်လမ်း၊ အမှတ်(၄)ရပ်ကွက်၊ လှိုင်မြို့နယ်၊ ရန်ကုန်မြို့,လှိုင်၊ ရန်ကုန်(အနောက်ပိုင်း)၊ ရန်ကုန်တိုင်းဒေသကြီး,16.832133,96.126855,MMR013040,All fields present,None,No error,,Sanity check: Pass,,
TC_0015,8/8/2025 18:34,0.065,အမှတ်(၁၀)၊ ဒလ-တွံတေးလမ်း၊ တပင်ရွှေထီးရပ်ကွက်၊ ဒလမြို့နယ်၊ ရန်ကုန်မြို့။,ဒလ၊ ရန်ကုန်(တောင်ပိုင်း)၊ ရန်ကုန်တိုင်းဒေသကြီး,16.9143055,96.6704944,MMR013030,All fields present,None,No error,,Sanity check: Pass,,
TC_0016,8/8/2025 18:34,0.064,အမှတ်(၁၁၈၆)၊ လှော်ကားလမ်းနှင့်ကျန်စစ်သားလမ်းထောင့်၊ (၇၀)ဈေးမှတ်တိုင်၊ တောင်ဒဂုံမြို့နယ်၊ ရန်ကုန်မြို့,ဒဂုံ၊ ရန်ကုန်(အနောက်ပိုင်း)၊ ရန်ကုန်တိုင်းဒေသကြီး,16.7924898,96.151373,MMR013043,All fields present,None,No error,,Sanity check: Pass,,
TC_0017,8/8/2025 18:34,0.01,အမှတ် ၉၊ မင်းကျောင်းလမ်း၊ ကျောက်တန်းမြို့,အလယ်ပိုင်းရပ်ကွက်၊ ကျောက်တန်း၊ ကျောက်တန်း၊ ရန်ကုန်(တောင်ပိုင်း)၊ ရန်ကုန်တိုင်းဒေသကြီး,16.6362577,96.3199488,MMR013024701,All fields present,None,No error,,Sanity check: Pass,,
TC_0018,8/8/2025 18:34,0.064,အမှတ်(၁၁)၊ လသာလမ်း၊ လသာမြို့နယ်၊ ရန်ကုန်မြို့,လသာ၊ ရန်ကုန်(အနောက်ပိုင်း)၊ ရန်ကုန်တိုင်းဒေသကြီး,16.773859,96.1483905,MMR013036,All fields present,None,No error,,Sanity check: Pass,,
TC_0019,8/8/2025 18:34,0.065,အမှတ်(၄၀)၊ ၅/၃ရပ်ကွက်၊ ဗိုလ်ချုပ်လမ်း၊ ကားလေးဂိတ်မှတ်တိုင်၊ ရွှေပြည်သာမြို့နယ်၊ ရန်ကုန်မြို့,ရွှေပြည်သာ၊ ရန်ကုန်(မြောက်ပိုင်း)၊ ရန်ကုန်တိုင်းဒေသကြီး,16.8284327,96.1287441,MMR013007,All fields present,None,No error,,Sanity check: Pass,,
TC_0020,8/8/2025 18:34,0.065,အမှတ် (၁၈၂) ၊ သုဒမလမ်း၊ ဇ/ရပ်ကွက်၊ မြောက်ဥက္ကလာပမြို့နယ်၊ ရန်ကုန်မြို့,မြောက်ဥက္ကလာပ၊ ရန်ကုန်(အရှေ့ပိုင်း)၊ ရန်ကုန်တိုင်းဒေသကြီး,16.8170491,96.1973871,MMR013012,All fields present,None,No error,,Sanity check: Pass,,
TC_0021,8/8/2025 18:34,0.01,ဇ/၆၀၊ အောင်ဇေယျလမ်း၊ ၁၂ ရပ်ကွက်၊ သုံးခွမြို့,အမှတ် (၁၂) ရပ်ကွက်၊ သုံးခွ၊ သုံးခွ၊ ရန်ကုန်(တောင်ပိုင်း)၊ ရန်ကုန်တိုင်းဒေသကြီး,16.7941927,96.2170232,MMR013025701512,All fields present,None,No error,,Sanity check: Pass,,
TC_0022,8/8/2025 18:34,0.067,မြင့်နှင့်ပိုင်ကုမ္ပဏီရှေ့၊ မြောက်ဥက္ကလာပမြို့နယ်၊ ရန်ကုန်မြို့,မြောက်ဥက္ကလာပ၊ ရန်ကုန်(အရှေ့ပိုင်း)၊ ရန်ကုန်တိုင်းဒေသကြီး,16.8170491,96.1973871,MMR013012,All fields present,None,No error,,Sanity check: Pass,,
TC_0023,8/8/2025 18:34,0.063,အပြည်ပြည်ဆိုင်လေဆိပ်(အသစ်)၊ မင်္ဂလာဒုံမြို့နယ်၊ ရန်ကုန်မြို့,မင်္ဂလာဒုံ၊ ရန်ကုန်(မြောက်ပိုင်း)၊ ရန်ကုန်တိုင်းဒေသကြီး,17.0412816,96.1341431,MMR013002,All fields present,None,No error,,Sanity check: Pass,,
TC_0024,8/8/2025 18:34,0.063,အမှတ် (၁၅၄၇) (၁၉) ရပ်ကွက် ကျန်စစ်သားလမ်း လှိုင်သာယာမြို့နယ် ရန်ကုန်မြို့,လှိုင်သာယာ၊ ရန်ကုန်(မြောက်ပိုင်း)၊ ရန်ကုန်တိုင်းဒေသကြီး,16.8819286,96.0573302,MMR013008,All fields present,None,No error,,Sanity check: Pass,,
